PREC,TEMP,WIND_SPEED,RH,DMG
0.0,272.65,5.5,42.5,1
0.0,271.84999999999997,1.3,49.6,1
0.0,276.84999999999997,3.5,27.1,1
0.0,268.15,0.2,50.0,1
0.0,267.15,2.5,39.2,1
0.0,269.34999999999997,2.8,26.7,1
0.0,269.34999999999997,2.5,26.9,1
0.0,271.95,0.9,52.8,1
0.0,271.45,2.4,41.4,1
0.0,267.95,2.3,37.4,1
0.0,259.34999999999997,0.5,51.6,1
0.0,285.75,1.4,46.2,1
0.0,275.34999999999997,2.3,83.7,1
0.0,283.25,2.2,36.3,1
0.0,275.34999999999997,3.2,32.8,1
0.0,276.75,3.0,41.1,1
0.0,272.54999999999995,2.2,43.7,1
0.0,275.54999999999995,4.9,50.5,1
0.0,281.45,3.6,30.8,1
0.0,282.34999999999997,4.8,31.2,1
0.0,283.95,3.9,37.1,1
0.0,280.84999999999997,2.0,72.2,1
0.0,276.54999999999995,3.8,19.2,1
0.0,271.45,1.9,22.7,1
0.0,271.95,4.5,22.2,1
0.0,280.84999999999997,3.1,37.8,1
0.0,279.84999999999997,3.4,43.2,1
0.0,266.65,0.5,79.8,1
0.0,271.95,4.0,24.3,1
0.0,273.15,2.5,12.3,1
0.0,272.65,5.0,12.0,1
0.0,272.25,4.1,10.5,1
0.0,272.75,3.4,10.6,1
0.0,274.15,4.5,26.0,1
0.0,284.25,4.0,33.4,1
0.0,275.04999999999995,0.5,52.5,1
0.0,271.84999999999997,0.7,64.6,1
0.0,273.04999999999995,0.6,58.8,1
0.0,277.95,2.4,32.3,1
0.0,275.95,4.9,47.3,1
0.0,280.95,1.1,58.6,1
0.0,275.34999999999997,0.0,56.3,1
0.0,284.25,2.0,17.5,1
0.0,283.75,1.9,24.7,1
0.0,277.65,1.3,32.4,1
0.0,268.95,0.0,70.0,1
0.0,276.84999999999997,2.1,39.4,1
0.0,283.75,2.5,31.2,1
0.0,280.65,2.4,46.9,1
0.0,283.25,4.2,40.1,1
0.0,279.54999999999995,3.2,24.0,1
0.0,276.84999999999997,2.8,61.0,1
0.0,272.15,1.4,59.5,1
0.0,284.84999999999997,1.3,41.8,1
0.0,283.75,2.2,49.0,1
0.0,287.95,0.8,61.2,1
0.0,285.45,0.7,66.3,1
0.0,288.54999999999995,1.6,46.4,1
0.0,283.54999999999995,0.4,70.7,1
0.0,283.15,0.6,74.0,1
0.0,283.75,2.0,69.2,1
0.0,288.95,2.2,61.2,1
0.0,288.04999999999995,3.4,57.8,1
0.0,281.04999999999995,0.8,75.7,1
0.0,283.75,1.5,67.2,1
0.0,291.45,1.9,35.5,1
0.0,290.34999999999997,3.2,53.2,1
0.0,290.34999999999997,2.6,48.0,1
0.0,288.15,2.5,52.7,1
0.0,290.34999999999997,3.2,39.6,1
0.0,280.15,1.6,74.0,1
0.0,288.15,1.0,47.7,1
0.0,285.95,2.8,28.4,1
0.0,284.65,1.2,30.7,1
0.0,284.54999999999995,2.6,21.5,1
0.0,273.34999999999997,0.3,87.0,1
0.0,280.25,2.2,42.3,1
0.0,285.04999999999995,3.3,18.0,1
0.0,284.15,4.2,16.5,1
0.0,280.15,2.9,22.3,1
0.0,281.15,3.4,20.2,1
0.0,284.15,5.9,55.8,1
0.0,274.45,0.9,51.0,1
0.0,279.15,2.0,35.4,1
0.0,277.15,2.3,38.0,1
0.0,286.95,4.0,30.1,1
0.0,292.95,3.7,28.4,1
0.0,285.54999999999995,3.6,9.4,1
0.0,285.84999999999997,4.1,11.8,1
0.0,285.84999999999997,3.8,13.6,1
0.0,286.95,3.1,19.7,1
0.0,288.15,4.3,33.2,1
0.0,282.54999999999995,1.4,57.3,1
0.0,290.65,2.6,38.1,1
0.0,285.95,1.8,55.3,1
0.0,285.65,0.5,52.0,1
0.0,280.84999999999997,1.2,50.7,1
0.0,279.15,1.7,24.6,1
0.0,281.45,4.4,28.8,1
0.0,289.34999999999997,4.6,63.8,1
0.0,290.25,2.9,56.5,1
0.0,290.54999999999995,3.4,53.0,1
0.0,285.45,1.2,64.8,1
0.0,280.75,1.6,88.6,1
0.0,287.15,0.6,32.6,1
0.0,286.25,3.4,46.2,1
0.0,287.04999999999995,1.1,28.4,1
0.0,289.15,0.6,30.0,1
0.0,290.54999999999995,3.7,19.6,1
0.0,291.25,2.7,47.7,1
0.0,289.95,2.7,21.0,1
0.0,292.45,2.6,17.8,1
0.0,293.15,2.3,41.0,1
0.0,283.34999999999997,2.8,31.3,1
0.0,279.45,2.7,54.3,1
0.0,295.04999999999995,1.6,37.2,1
0.0,288.75,1.3,70.4,1
0.0,291.04999999999995,2.2,40.8,1
0.0,291.34999999999997,3.0,42.5,1
0.0,282.04999999999995,0.1,83.2,1
0.0,290.04999999999995,2.0,48.7,1
0.0,290.15,0.8,66.7,1
0.0,283.84999999999997,2.0,55.5,1
0.0,293.34999999999997,2.6,24.2,1
0.0,288.95,1.2,53.7,1
0.0,290.95,2.4,52.8,1
0.0,282.34999999999997,0.6,95.0,1
0.0,279.75,0.4,95.8,1
0.0,296.95,1.3,51.2,1
0.0,289.34999999999997,3.2,58.8,1
0.0,294.45,5.8,40.9,1
0.0,293.04999999999995,1.9,28.5,1
0.0,291.25,2.1,56.0,1
0.0,293.34999999999997,2.0,44.4,1
0.0,297.15,1.3,52.0,1
0.0,298.34999999999997,1.0,50.3,1
0.0,273.15,2.5,97.5,1
0.0,301.45,1.6,50.6,1
0.0,299.34999999999997,1.5,57.7,1
0.0,296.25,1.9,79.3,1
0.0,308.15,1.7,28.8,1
0.0,304.95,2.1,38.9,1
0.0,300.75,2.8,50.2,1
0.0,300.15,3.3,60.0,1
0.0,297.45,4.0,78.3,1
0.0,302.84999999999997,2.6,38.5,1
0.0,306.15,2.0,27.2,1
0.0,303.34999999999997,2.7,46.8,1
0.0,304.34999999999997,2.8,42.8,1
0.0,304.75,1.4,39.1,1
0.0,306.65,3.1,35.7,1
0.0,301.65,1.2,51.0,1
0.0,301.15,2.7,38.8,1
0.0,298.95,2.8,40.9,1
0.0,304.45,1.9,37.2,1
0.0,300.25,2.8,36.8,1
0.0,300.45,1.1,58.8,1
0.0,298.15,1.2,45.2,1
0.0,301.54999999999995,1.5,51.2,1
0.0,300.25,2.4,39.1,1
0.0,298.34999999999997,2.0,45.7,1
0.0,294.95,1.8,49.9,1
0.0,290.54999999999995,0.7,70.8,1
0.0,293.25,3.8,67.5,1
0.0,303.04999999999995,3.6,50.8,1
0.0,301.45,0.3,57.0,1
0.0,299.95,2.2,45.3,1
0.0,301.25,2.6,53.9,1
0.0,296.04999999999995,1.2,57.8,1
0.0,296.54999999999995,4.4,73.5,1
0.0,296.34999999999997,1.2,57.3,1
0.0,296.15,2.2,65.4,1
0.0,299.75,2.6,29.8,1
0.0,298.25,4.4,41.3,1
0.0,298.34999999999997,3.8,41.0,1
0.0,299.15,1.0,35.2,1
0.0,301.75,1.2,33.8,1
0.0,297.75,4.3,31.8,1
0.0,293.75,2.8,43.5,1
0.0,293.04999999999995,3.3,63.8,1
0.0,299.34999999999997,1.1,50.0,1
0.0,297.65,3.8,25.0,1
0.0,298.54999999999995,2.6,25.2,1
0.0,298.04999999999995,3.0,19.0,1
0.0,299.84999999999997,1.3,17.6,1
0.0,299.95,2.4,10.3,1
0.0,292.45,2.7,34.7,1
0.0,293.45,1.5,24.0,1
0.0,292.84999999999997,2.1,19.9,1
0.0,291.84999999999997,1.4,40.8,1
0.0,299.54999999999995,1.5,20.1,1
0.0,299.04999999999995,1.4,19.9,1
0.0,295.34999999999997,1.4,40.6,1
0.0,295.84999999999997,2.6,51.5,1
0.0,299.34999999999997,3.8,48.0,1
0.0,292.54999999999995,16.7,48.6,1
0.0,299.75,3.3,47.2,1
0.0,299.54999999999995,3.8,45.4,1
0.0,297.65,2.2,54.0,1
0.0,300.65,1.5,43.9,1
0.0,299.34999999999997,4.0,37.5,1
0.0,296.34999999999997,3.0,34.6,1
0.0,299.04999999999995,1.7,39.0,1
0.0,295.04999999999995,3.0,48.5,1
0.0,295.34999999999997,3.8,42.0,1
0.0,296.54999999999995,2.2,43.5,1
0.0,299.15,4.5,29.3,1
0.0,297.45,2.3,38.5,1
0.0,296.34999999999997,3.2,33.5,1
0.0,294.25,2.4,36.0,1
0.0,279.45,0.8,81.7,1
0.0,294.45,3.9,25.2,1
0.0,291.45,1.8,36.2,1
0.0,291.95,1.9,37.9,1
0.0,284.75,1.8,79.1,1
0.0,293.84999999999997,2.9,16.8,1
0.0,294.04999999999995,4.4,18.4,1
0.0,290.65,4.2,52.0,1
0.0,293.15,5.9,30.8,1
0.0,287.75,2.7,29.3,1
0.0,289.54999999999995,2.5,22.0,1
0.0,287.34999999999997,3.2,47.6,1
0.0,291.45,2.9,18.1,1
0.0,290.84999999999997,3.3,23.1,1
0.0,292.65,1.8,17.8,1
0.0,289.65,2.6,24.2,1
0.0,287.65,4.4,38.7,1
0.0,293.25,4.6,29.8,1
0.0,295.95,4.8,25.3,1
0.0,294.65,4.7,36.2,1
0.0,292.15,5.4,37.7,1
0.0,291.75,5.0,41.9,1
0.0,285.34999999999997,4.0,49.2,1
0.0,282.34999999999997,0.7,66.0,1
0.0,284.45,5.0,23.4,1
0.0,286.54999999999995,4.4,49.0,1
0.0,289.34999999999997,5.0,23.0,1
0.0,289.65,8.2,22.3,1
0.0,287.15,4.4,33.9,1
0.0,286.95,6.4,28.0,1
0.0,285.25,3.7,43.3,1
0.0,284.34999999999997,6.0,48.5,1
0.0,286.45,4.3,31.2,1
0.0,280.95,2.7,35.0,1
0.0,280.54999999999995,3.8,34.0,1
0.0,286.15,6.5,29.0,1
0.0,281.15,5.1,34.6,1
0.0,288.34999999999997,2.8,65.5,1
0.0,287.65,4.8,62.0,1
0.0,290.15,2.3,49.6,1
0.0,281.15,1.6,94.2,1
0.0,280.95,1.4,78.5,1
0.0,292.95,3.0,35.3,1
0.0,291.84999999999997,2.7,40.0,1
0.0,292.04999999999995,4.1,37.6,1
0.0,292.45,4.0,40.2,1
0.0,296.65,0.3,24.0,1
0.0,289.45,4.2,48.0,1
0.0,294.25,2.2,24.8,1
