"","gs.wsvm3","gs.wsvm","svm","zsvm","smotesvm","smotedc","bayes"
"10",0.70938152,0.46918019,0.08709985,0.71694761,0.56252508,0.6078142,0.77415482
"12.5",0.6924235,0.435885,0.1242402,0.7120676,0.5460021,0.5729948,0.7566284
"15",0.67772439,0.47827466,0.04779868,0.68832265,0.55966305,0.56596338,0.75501808
"17.5",0.68480905,0.39499715,0.06689966,0.67190916,0.52660758,0.58969408,0.75134027
"20",0.60953923,0.36688612,0.01811347,0.66822567,0.44226767,0.545946,0.76202212
"22.5",0.61819516,0.45708402,0.02592349,0.69365249,0.44605882,0.58093389,0.80153469
"25",0.58535238,0.38598583,0.01102396,0.6671531,0.3717962,0.49423771,0.75372395
"27.5",0.64668848,0.4293192,0.02946351,0.65596365,0.42694026,0.57015048,0.78418511
"30",0.52428902,0.37024851,0.01357334,0.66400768,0.35874032,0.5460648,0.77079853
"32.5",0.57881194,0.21549134,0.01108214,0.61372861,0.3461619,0.43891991,0.76670343
"35",0.565246,0.3575263,0,0.6069335,0.2921401,0.4445079,0.7835627
"37.5",0.60356148,0.42026611,0.01178511,0.62680703,0.34410776,0.45586773,0.78202944
"40",0.5634346,0.3534929,0,0.6190053,0.4113212,0.4472664,0.8110623
