"","gs.wsvm3","gs.wsvm","svm","zsvm","smotesvm","smotedc","bayes"
"10",0.57951995,0.31146303,0.03132465,0.71882395,0.36223645,0.46178221,0.67568972
"12.5",0.55265704,0.26664926,0.05519374,0.6974449,0.32914086,0.41265884,0.64739977
"15",0.52531269,0.30741314,0.01753968,0.66057012,0.35146,0.40301914,0.64211364
"17.5",0.55007049,0.24909146,0.02295926,0.66898712,0.33093629,0.42385503,0.64671995
"20",0.4633571,0.226773,0.01,0.6551143,0.2752647,0.3853979,0.6565758
"22.5",0.4801924,0.31050265,0.01022727,0.66541607,0.25674122,0.44285474,0.72575878
"25",0.411455026,0.247234247,0.003703704,0.661111111,0.21753367,0.34019721,0.646356421
"27.5",0.48792809,0.27717653,0.01369048,0.62549904,0.24867003,0.39592232,0.6894252
"30",0.385846561,0.2575,0.005555556,0.682208995,0.193730159,0.421243386,0.67857142
"32.5",0.439722222,0.119722222,0.003703704,0.574259259,0.186904762,0.359007937,0.671097884
"35",0.4152249,0.2184127,0,0.5713228,0.1445899,0.3025132,0.7036508
"37.5",0.457142857,0.293095238,0.004166667,0.574404762,0.203174603,0.327261905,0.698214286
"40",0.4738492,0.2546032,0,0.627381,0.241627,0.3805159,0.7457143
