"","gs.wsvm3","gs.wsvm","svm","zsvm","smotesvm","smotedc","bayes"
"10",0.12956856,0.25195363,0.06389122,0.15700939,0.15264001,0.22315903,0.11672859
"12.5",0.158071,0.2154165,0.1176634,0.1476663,0.1004221,0.1963357,0.1173081
"15",0.17632599,0.22561579,0.04685964,0.18146604,0.14657192,0.22745899,0.10274009
"17.5",0.20123237,0.22472749,0.04859645,0.19768619,0.17212271,0.20410165,0.19148736
"20",0.21480314,0.2215021,0.05477226,0.1983899,0.2171397,0.2080504,0.14711275
"22.5",0.25522703,0.24927501,0.03962973,0.19727974,0.18933967,0.2818521,0.14568782
"25",0.19806772,0.23893477,0.02028602,0.23832272,0.18416297,0.21670552,0.18102318
"27.5",0.19971657,0.23673409,0.05621228,0.24419893,0.17649733,0.18614295,0.14820911
"30",0.25945168,0.27909305,0.03042903,0.2348086,0.1646301,0.28057871,0.17098242
"32.5",0.25716242,0.16935939,0.02028602,0.27604131,0.1577527,0.30642012,0.17403382
"35",0.2257852,0.2033661,0,0.2672786,0.1354327,0.2269054,0.1994813
"37.5",0.23151435,0.25584351,0.02282177,0.24951253,0.18763489,0.24704868,0.18127961
"40",0.3041164,0.2773706,0,0.3051886,0.1839466,0.304888,0.1827523
