"","gs.wsvm3","gs.wsvm","svm","zsvm","smotesvm","smotedc","bayes"
"10",0.8809276,0.9518531,0.9950466,0.7341351,0.9217531,0.8695435,0.8938882
"12.5",0.890435,0.953398,0.9935201,0.7412741,0.925665,0.8850279,0.8914286
"15",0.9053001,0.9520101,0.9967837,0.7425098,0.9350535,0.9000676,0.8936397
"17.5",0.8907369,0.9501997,0.9980514,0.7085992,0.9408816,0.8875278,0.8926778
"20",0.9028297,0.9606013,0.9984218,0.7137614,0.9428934,0.8928051,0.8968305
"22.5",0.9123508,0.9529741,0.9991256,0.7554865,0.9526511,0.902862,0.894949
"25",0.9094474,0.9547309,0.9984356,0.7244957,0.9587229,0.9102146,0.8971926
"27.5",0.9226284,0.9567061,0.9994819,0.7459444,0.9614818,0.9024194,0.9019648
"30",0.9190609,0.9555435,0.9981018,0.6918968,0.9612132,0.8917798,0.8894898
"32.5",0.904187,0.9705883,0.9984544,0.7343203,0.9621933,0.8708225,0.8910116
"35",0.9092848,0.9525487,0.9998299,0.7356108,0.9683355,0.9153441,0.8921606
"37.5",0.9028803,0.9358659,1,0.752429,0.9654025,0.8974594,0.8919292
"40",0.9159419,0.9486592,0.9994819,0.712773,0.9636617,0.8615672,0.8976996
