"","gswsvm3","gswsvm","svm","svmdc","clusterSVM","smotesvm","blsmotesvm","dbsmotesvm","smotedc","bayes"
"10",0.0672011934441948,0.126731103706744,NA,NA,NA,NA,NA,NA,0.0620822401622837,0.0541550281158324
"12.5",0.0586759537519533,0.0898905084577473,NA,NA,NA,NA,NA,NA,0.0591034078264629,0.0400962989021578
"15",0.0532624688738673,NA,NA,NA,NA,NA,NA,NA,0.0595958978602939,0.039966240047366
"17.5",0.0575770433568769,NA,NA,NA,NA,NA,NA,NA,0.0500793047366773,0.0421627256654387
"20",0.0686404704797652,NA,NA,NA,NA,NA,NA,NA,0.0784021722785357,0.0418212859621255
"22.5",0.0630144397611301,NA,NA,NA,NA,NA,NA,NA,0.061024286526788,0.0409018152361389
"25",0.0751200605204374,0.161200372524043,NA,NA,NA,NA,NA,NA,0.0605968767562402,0.0426555842212741
"27.5",0.0570180068252065,NA,NA,NA,NA,NA,NA,NA,0.0661241624152118,0.0386344459094231
"30",0.0633845536192206,NA,NA,NA,NA,NA,NA,NA,0.0450360857238759,0.0346846133087101
"32.5",0.07396856537521,NA,NA,NA,NA,NA,NA,NA,NA,0.0403917100875258
"35",NA,NA,NA,NA,NA,NA,NA,NA,0.0400544930518573,0.040138753895221
"37.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0344556410481813
"40",0.0633100303502255,NA,NA,NA,NA,NA,NA,NA,NA,0.0303609565919793
