"","gswsvm3","gswsvm","svm","svmdc","clusterSVM","smotesvm","blsmotesvm","dbsmotesvm","smotedc","bayes"
"10",0.0302020296850996,0.0340111057039638,0.0112384685600604,NA,NA,NA,NA,NA,0.0357027208608967,0.0183494458301143
"12.5",0.0392510066921513,0.0341081393000546,0.00862604438565158,NA,NA,NA,NA,NA,0.0410343634629551,0.0186668404491875
"15",0.0346705277614711,0.0371130229087867,0.00802119570554324,NA,NA,NA,NA,NA,0.0331531618299399,0.0148015582170883
"17.5",0.0412043610765642,0.036688233493887,0.00754947183827877,NA,NA,NA,NA,NA,0.0413265757958533,0.0163212717820936
"20",0.0542126790935549,0.0371817548790517,0.00841617555169408,NA,NA,NA,NA,NA,0.0486650163218529,0.0157132139913793
"22.5",0.0500851176528573,0.0437952497073885,0.00625081424372121,NA,NA,NA,NA,NA,0.043274888097395,0.0168651180092023
"25",0.0485725329229937,0.0422779556764225,0.0052979053287899,NA,NA,NA,NA,NA,0.0425029705685282,0.0183745803395215
"27.5",0.0709334443453158,0.0421244622907199,0.00537376001332283,NA,NA,NA,NA,NA,0.0372805231263861,0.0195934525205395
"30",0.0656643535315165,0.0420320438784557,0.00534544245265568,NA,NA,NA,NA,NA,0.078151312740216,0.0184781313459342
"32.5",0.0832390185430792,0.0497043665198643,0.00509939127885383,NA,NA,NA,NA,NA,0.0626198708673825,0.0218217740217757
"35",0.0816337714509862,0.0492058112304952,0.00441676530129663,NA,NA,NA,NA,NA,0.0750755503070753,0.0163685387216975
"37.5",0.0797791951232412,0.0506049159636258,0.00449906355761406,NA,NA,NA,NA,NA,0.0732820174089151,0.0213966215046508
"40",0.0811548453060049,0.044775302454614,0.00427797886056355,NA,NA,NA,NA,NA,0.0905652905388769,0.0188820152655698
