"","gswsvm3","gswsvm","svm","svmdc","clusterSVM","smotesvm","blsmotesvm","dbsmotesvm","smotedc","bayes"
"10",0.0576831249560287,0.184621218527622,0.137489667196574,NA,NA,NA,NA,NA,0.0760964608899837,0.0580135233539309
"12.5",0.086163155949589,0.16410984627481,0.139814143955881,NA,NA,NA,NA,NA,0.0897747655269885,0.0647712861598999
"15",0.100904958927668,0.166692679841099,0.116090852548995,NA,NA,NA,NA,NA,0.0989859779469565,0.0688036361942715
"17.5",0.111064239904546,0.186601975818716,0.100299878279849,NA,NA,NA,NA,NA,0.112065712022687,0.0609720201335907
"20",0.121305613253234,0.196555921027328,0.133676915906058,NA,NA,NA,NA,NA,0.139091130452112,0.0820312838011057
"22.5",0.133712132582884,0.221183225749653,0.0737707028085141,NA,NA,NA,NA,NA,0.140530407743593,0.0974397799401516
"25",0.179161645783382,0.251642323661529,0.0881058775774325,NA,NA,NA,NA,NA,0.157098130527315,0.0960278678844376
"27.5",0.171345300648964,0.255723015179485,0.0854346072670099,NA,NA,NA,NA,NA,0.156822514272012,0.1025399952412
"30",0.191651619548143,0.254982420507835,0.0762632038756461,NA,NA,NA,NA,NA,0.193843823458766,0.096462468718916
"32.5",0.213115359800772,0.245404168221764,0.0769291018266439,NA,NA,NA,NA,NA,0.195074464342626,0.102006703680508
"35",0.20524320828429,0.265187727066899,0.0767722890548634,NA,NA,NA,NA,NA,0.24409973082882,0.107531637485886
"37.5",0.193313766971439,0.269562136309653,0.0989220382991439,NA,NA,NA,NA,NA,0.195653141971819,0.109086989995463
"40",0.242675622226451,0.251740068878311,0.0666373939153132,NA,NA,NA,NA,NA,0.232530178010342,0.113130053194718
