"","gswsvm3","gswsvm","svm","svmdc","clusterSVM","smotesvm","blsmotesvm","dbsmotesvm","smotedc","bayes"
"10",0.866726119402985,0.894469900497512,0.905231094527363,NA,NA,NA,NA,NA,0.735870149253731,0.881166417910448
"12.5",0.877100995024876,0.908482089552239,0.921786069651741,NA,NA,NA,NA,NA,0.731480597014925,0.886957711442786
"15",0.886835074626866,0.914883333333333,0.933508208955224,NA,NA,NA,NA,NA,0.748263432835821,0.888330348258706
"17.5",0.882025124378109,0.918088059701493,0.942436567164179,NA,NA,NA,NA,NA,0.755118905472637,0.890945771144279
"20",0.894562189054726,0.928425124378109,0.948752985074627,NA,NA,NA,NA,NA,0.749955721393035,0.894915671641791
"22.5",0.897748756218905,0.932110945273632,0.955226368159204,NA,NA,NA,NA,NA,0.75969552238806,0.895115422885572
"25",0.898658706467662,0.933661691542289,0.959164427860697,NA,NA,NA,NA,NA,0.758658955223881,0.8967592039801
"27.5",0.900102487562189,0.942377114427861,0.962003233830846,NA,NA,NA,NA,NA,0.754848507462687,0.896564925373134
"30",0.90366815920398,0.939944029850746,0.96543631840796,NA,NA,NA,NA,NA,0.781565422885572,0.894160199004975
"32.5",0.90662960199005,0.945027860696517,0.96738631840796,NA,NA,NA,NA,NA,0.762908457711443,0.89493184079602
"35",0.911625870646766,0.945622885572139,0.969827611940299,NA,NA,NA,NA,NA,0.756635820895522,0.895840298507463
"37.5",0.910921144278607,0.948015671641791,0.970720149253731,NA,NA,NA,NA,NA,0.754917910447761,0.893488308457711
"40",0.918376616915423,0.949509452736318,0.973357960199005,NA,NA,NA,NA,NA,0.772524626865672,0.900044527363184
