"","gswsvm3","gswsvm","svm","svmdc","clusterSVM","smotesvm","blsmotesvm","dbsmotesvm","smotedc","bayes"
"10",0.379582633710308,NA,NA,NA,NA,NA,NA,NA,0.236644400610729,0.420916654087189
"12.5",0.339612841644757,NA,NA,NA,NA,NA,NA,NA,0.202900275315975,0.377047242231738
"15",0.309421156730616,NA,NA,NA,NA,NA,NA,NA,0.177681823860784,0.330750801700579
"17.5",NA,NA,NA,NA,NA,NA,NA,NA,0.155464158260509,0.295392162083452
"20",0.237508974959172,NA,NA,NA,NA,NA,NA,NA,0.137926618863867,0.276896169812338
"22.5",NA,NA,NA,NA,NA,NA,NA,NA,0.129483920061874,0.256442180281992
"25",NA,NA,NA,NA,NA,NA,NA,NA,0.112409224975192,0.237055816547757
"27.5",0.203375248518947,NA,NA,NA,NA,NA,NA,NA,0.101511068628864,0.227982161232713
"30",NA,NA,NA,NA,NA,NA,NA,NA,0.103958181318971,0.206474821842004
"32.5",NA,NA,NA,NA,NA,NA,NA,NA,0.0947352075339944,0.194115862594194
"35",NA,NA,NA,NA,NA,NA,NA,NA,0.0851005869104389,0.175547022446986
"37.5",NA,NA,NA,NA,NA,NA,NA,NA,0.0796930306732841,0.167353265078162
"40",NA,NA,NA,NA,NA,NA,NA,NA,0.0849559266234894,0.167738748462933
