"","gswsvm3","gswsvm","svm","svmdc","clusterSVM","smotesvm","blsmotesvm","dbsmotesvm","smotedc","bayes"
"10",0.746944444444444,0.5275,0.0411111111111111,NA,NA,NA,NA,NA,0.725555555555556,0.818055555555556
"12.5",0.766108597285068,0.378710407239819,0.0375,NA,NA,NA,NA,NA,0.75540346907994,0.795561840120664
"15",0.657619047619048,0.29952380952381,0.0466666666666667,NA,NA,NA,NA,NA,0.659047619047619,0.766666666666667
"17.5",0.682144522144522,0.313473193473193,0.0656177156177156,NA,NA,NA,NA,NA,0.579184149184149,0.783379953379953
"20",0.669191919191919,0.452020202020202,0.0166666666666667,NA,NA,NA,NA,NA,0.78989898989899,0.82020202020202
"22.5",0.568181818181818,0.290909090909091,0.0181818181818182,NA,NA,NA,NA,NA,0.643181818181818,0.743181818181818
"25",0.481904761904762,0.371111111111111,0.02,NA,NA,NA,NA,NA,0.56984126984127,0.818412698412698
"27.5",0.545714285714286,0.372698412698413,0,NA,NA,NA,NA,NA,0.481269841269841,0.848888888888889
"30",0.666666666666667,0.175,0,NA,NA,NA,NA,NA,0.556666666666667,0.826666666666667
"32.5",0.451031746031746,0.234444444444444,0,NA,NA,NA,NA,NA,0.613174603174603,0.843650793650794
"35",0.570952380952381,0.347142857142857,0,NA,NA,NA,NA,NA,0.684285714285714,0.757619047619048
"37.5",0.469047619047619,0.404761904761905,0,NA,NA,NA,NA,NA,0.473809523809524,0.797619047619048
"40",0.368095238095238,0.0952380952380952,0,NA,NA,NA,NA,NA,0.403333333333333,0.73952380952381
