"","gswsvm3","gswsvm","svm","svmdc","clusterSVM","smotesvm","blsmotesvm","dbsmotesvm","smotedc","bayes"
"10",0.796871453752991,0.665664167515776,0.266830698298858,NA,NA,NA,NA,NA,0.774501893603692,0.84250812792584
"12.5",0.793498959146464,0.657798668606425,0.163178118415098,NA,NA,NA,NA,NA,0.755850065572407,0.848287678112872
"15",0.76367428846831,0.622556581505306,0.10996389004251,NA,NA,NA,NA,NA,0.747523049648803,0.845590567355626
"17.5",0.765124435033624,0.5269983526281,0.0717836912776669,NA,NA,NA,NA,NA,0.740704535192693,0.843896027524042
"20",0.715288739220024,0.500772146332505,0.0615457073617871,NA,NA,NA,NA,NA,0.714512164321074,0.846515073561816
"22.5",0.728147421773205,0.495980550205102,0.0631057567814277,NA,NA,NA,NA,NA,0.726751044062761,0.843123095996949
"25",0.748791884625313,0.457069095529925,0.00962250448649376,NA,NA,NA,NA,NA,0.693501838460634,0.843036601530189
"27.5",0.688392201667286,0.457559052086618,0.0370790811898598,NA,NA,NA,NA,NA,0.698195940868827,0.854098035193856
"30",0.654110208159167,0.416607108072241,0.0430823455638994,NA,NA,NA,NA,NA,0.658274052552706,0.855764335033796
"32.5",0.670601939646242,0.459725913467745,0.0231397413008688,NA,NA,NA,NA,NA,0.681133585321124,0.853535074685036
"35",0.694196832292964,0.439246423726842,0.0117851130197758,NA,NA,NA,NA,NA,0.698780983305822,0.848816751340236
"37.5",0.6237741104225,0.481316227910997,0.0275059356169728,NA,NA,NA,NA,NA,0.659689746570259,0.836744939600821
"40",0.557551537780732,0.398346892578837,0.0313336121899685,NA,NA,NA,NA,NA,0.623509154530747,0.829693937792747
