"","gswsvm3","gswsvm","svm","svmdc","clusterSVM","smotesvm","blsmotesvm","dbsmotesvm","smotedc","bayes"
"10",0.0839039990466645,0.216573229581222,0.197566742609717,NA,NA,NA,NA,NA,0.0641071466077123,0.0520288050173955
"12.5",0.0616896617882752,0.214606928097552,0.195461853864202,NA,NA,NA,NA,NA,0.0769141269681752,0.047507385765412
"15",0.1252176056139,0.226467953145952,0.167644708009671,NA,NA,NA,NA,NA,0.0739170800753235,0.0501574853751616
"17.5",0.0886283520956184,0.276701737042705,0.167588163521331,NA,NA,NA,NA,NA,0.0890974315064234,0.0569441789046729
"20",0.134547944217625,0.290273240456361,0.14564704264866,NA,NA,NA,NA,NA,0.0878336335304334,0.0442012506741434
"22.5",0.11938005202425,0.317454326961367,0.145143709687483,NA,NA,NA,NA,NA,0.0825538513557802,0.0556103933648516
"25",0.117313249248088,0.319177443573958,0.052704627669473,NA,NA,NA,NA,NA,0.106973924102132,0.0721690782813296
"27.5",0.187964500323437,0.298370771126239,0.141878317478269,NA,NA,NA,NA,NA,0.0792693705114167,0.0580386387502811
"30",0.224418419001392,0.347541317260175,0.132109534940895,NA,NA,NA,NA,NA,0.103621527955977,0.0673988389199345
"32.5",0.229888147889916,0.305310202095645,0.0884334376674907,NA,NA,NA,NA,NA,0.154488667412169,0.0677908675307847
"35",0.137293978475477,0.272198843537137,0.0645497224367903,NA,NA,NA,NA,NA,0.119076384986042,0.0770687156894058
"37.5",0.219687527259391,0.30440972824512,0.105071379355801,NA,NA,NA,NA,NA,0.166733205740752,0.0717722574446139
"40",0.20327568442967,0.295119631008869,0.120341695513759,NA,NA,NA,NA,NA,0.168539171493368,0.0773639128420213
