"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.997742663656885,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",0.99548532731377,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",0.968397291196388,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",0.993227990970655,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",0.988713318284424,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",0.977426636568849,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",0.99097065462754,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",0.99548532731377,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",0.997742663656885,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",0.99548532731377,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",0.997742663656885,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",0.981941309255079,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",0.997742663656885,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",0.981941309255079,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",0.986455981941309,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",0.977426636568849,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",0.993227990970655,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",0.997742663656885,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",0.99548532731377,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",0.99548532731377,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",0.99097065462754,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",0.99548532731377,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",0.99548532731377,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",0.99548532731377,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",0.993227990970655,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",0.997742663656885,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",0.99097065462754,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",0.99548532731377,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",0.981941309255079,NA,NA,NA,NA,NA,NA,NA,NA,NA
