"","gswsvm3","gswsvm","svm","svmdc","clusterSVM","smotesvm","blsmotesvm","dbsmotesvm","smotedc","bayes"
"10",0.987974683544304,NA,NA,NA,NA,NA,NA,NA,0.986708860759494,NA
"12.5",0.989175257731959,NA,NA,NA,NA,NA,NA,NA,0.988144329896907,NA
"15",0.989519650655022,NA,NA,NA,NA,NA,NA,NA,0.987336244541485,NA
"17.5",0.987924528301887,NA,NA,NA,NA,NA,NA,NA,0.987924528301887,NA
"20",0.993,NA,NA,NA,NA,NA,NA,NA,0.994666666666667,NA
"22.5",0.989285714285714,NA,NA,NA,NA,NA,NA,NA,0.991369047619048,NA
"25",0.986559139784946,NA,NA,NA,NA,NA,NA,NA,0.988440860215054,NA
"27.5",0.983538083538084,NA,NA,NA,NA,NA,NA,NA,0.985995085995086,NA
"30",0.986230248306998,NA,NA,NA,NA,NA,NA,NA,0.985327313769752,NA
"32.5",0.987891440501044,NA,NA,NA,NA,NA,NA,NA,0.991649269311065,NA
"35",0.993385214007782,NA,NA,NA,NA,NA,NA,NA,0.991828793774319,NA
"37.5",0.987272727272727,NA,NA,NA,NA,NA,NA,NA,0.991090909090909,NA
"40",0.99025641025641,NA,NA,NA,NA,NA,NA,NA,0.994529914529915,NA
