"","gswsvm3","gswsvm","svm","svmdc","clusterSVM","smotesvm","blsmotesvm","dbsmotesvm","smotedc","bayes"
"10",0.0102377876168871,0.0102868899974728,0.041682914443606,NA,NA,NA,NA,NA,0,NA
"12.5",0.0073085972215664,0.00770875136443221,0.0336909685023393,NA,NA,NA,NA,NA,0,NA
"15",0.00829604913492802,0.00829604913492802,0.0224834067979851,NA,NA,NA,NA,NA,0,NA
"17.5",0.00535979264435318,0.00535979264435318,0.0195802542080151,NA,NA,NA,NA,NA,0,NA
"20",0.00437797517885457,0.00459468291736341,0.0227608338062461,NA,NA,NA,NA,NA,0,NA
"22.5",0.00506826975176382,0.00506826975176382,0.00974673981774572,NA,NA,NA,NA,NA,0,NA
"25",0.00427157219948137,0.00427157219948137,0.0153013435169438,NA,NA,NA,NA,NA,0,NA
"27.5",0.00490196078431371,0.00490196078431371,0.00465040832377701,NA,NA,NA,NA,NA,0,NA
"30",0.00250123656736483,0.00250123656736483,0.00964762675983576,NA,NA,NA,NA,NA,0,NA
"32.5",0.00311733205646319,0.00355891042130123,0.00991309611338052,NA,NA,NA,NA,NA,0,NA
"35",0.00215120929263154,0.00215120929263154,0.00829752155729312,NA,NA,NA,NA,NA,0,NA
"37.5",0.00224324959768003,0.00250391439638333,0,NA,NA,NA,NA,NA,0,NA
"40",0.00297308156084206,0.00297308156084206,0,NA,NA,NA,NA,NA,0,NA
