"","gswsvm3","gswsvm","svm","svmdc","clusterSVM","smotesvm","blsmotesvm","dbsmotesvm","smotedc","bayes"
"10",0.949129515127714,NA,NA,NA,NA,NA,NA,NA,0.958547905133884,NA
"12.5",0.936193801900553,NA,NA,NA,NA,NA,NA,NA,0.938802591035308,NA
"15",0.968713806091455,NA,NA,NA,NA,NA,NA,NA,0.957676558180627,NA
"17.5",0.957550107821671,NA,NA,NA,NA,NA,NA,NA,0.947633746552057,NA
"20",0.95351760479942,NA,NA,NA,NA,NA,NA,NA,0.951023291277789,NA
"22.5",0.944310587747191,NA,NA,NA,NA,NA,NA,NA,0.928644777350883,NA
"25",0.945901013674903,NA,NA,NA,NA,NA,NA,NA,0.937162488258896,NA
"27.5",0.941666057392891,NA,NA,NA,NA,NA,NA,NA,0.94316430064912,NA
"30",0.946580928125098,NA,NA,NA,NA,NA,NA,NA,0.935930170746194,NA
"32.5",0.936740789830402,NA,NA,NA,NA,NA,NA,NA,0.942581066703697,NA
"35",0.966680001558557,NA,NA,NA,NA,NA,NA,NA,0.948350793229735,NA
"37.5",0.939718956403646,NA,NA,NA,NA,NA,NA,NA,0.948491413829548,NA
"40",0.94784714638766,NA,NA,NA,NA,NA,NA,NA,0.953271654933961,NA
