"","gswsvm3","gswsvm","svm","svmdc","clusterSVM","smotesvm","blsmotesvm","dbsmotesvm","smotedc","bayes"
"10",0.0528078999779571,NA,NA,NA,NA,NA,NA,NA,0.0376998917870804,NA
"12.5",0.0459762206316801,NA,NA,NA,NA,NA,NA,NA,0.049722720715376,NA
"15",0.0363406332747738,NA,NA,NA,NA,NA,NA,NA,0.04061873405222,NA
"17.5",0.0449418267282628,NA,NA,NA,NA,NA,NA,NA,0.0476516961228366,NA
"20",0.041379268062388,NA,NA,NA,NA,NA,NA,NA,0.0420289208159635,NA
"22.5",0.045966234584095,NA,NA,NA,NA,NA,NA,NA,0.0448961859252693,NA
"25",0.0515908619743085,NA,NA,NA,NA,NA,NA,NA,0.0430819399056583,NA
"27.5",0.0381408798069471,NA,NA,NA,NA,NA,NA,NA,0.0307185294490721,NA
"30",0.0319028156939528,NA,NA,NA,NA,NA,NA,NA,0.0302947143458372,NA
"32.5",0.0379389612125474,NA,NA,NA,NA,NA,NA,NA,0.0200768460388553,NA
"35",0.0305577018702548,NA,NA,NA,NA,NA,NA,NA,0.0521508522184665,NA
"37.5",0.0316817658259059,NA,NA,NA,NA,NA,NA,NA,0.0329077800989412,NA
"40",0.0384198609409343,NA,NA,NA,NA,NA,NA,NA,0.041551222122067,NA
