"","gswsvm3","gswsvm","svm","svmdc","clusterSVM","smotesvm","blsmotesvm","dbsmotesvm","smotedc","bayes"
"10",0,0,NA,NA,NA,NA,NA,NA,0,NA
"12.5",0,0,NA,NA,NA,NA,NA,NA,0,NA
"15",0,0,NA,NA,NA,NA,NA,NA,0,NA
"17.5",0,0,NA,NA,NA,NA,NA,NA,0,NA
"20",0,0,NA,NA,NA,NA,NA,NA,0,NA
"22.5",0,0,NA,NA,NA,NA,NA,NA,0,NA
"25",0,0,NA,NA,NA,NA,NA,NA,0,NA
"27.5",0,0,NA,NA,NA,NA,NA,NA,0,NA
"30",0,0,NA,NA,NA,NA,NA,NA,0,NA
"32.5",0.0351364184463153,0.0632455532033676,NA,NA,NA,NA,NA,NA,0,NA
"35",0.0316227766016838,0.0316227766016838,NA,NA,NA,NA,NA,NA,0,NA
"37.5",0.0316227766016838,0,NA,NA,NA,NA,NA,NA,0,NA
"40",0,0,NA,NA,NA,NA,NA,NA,0,NA
