"","gswsvm3","gswsvm","svm","svmdc","clusterSVM","smotesvm","blsmotesvm","dbsmotesvm","smotedc","bayes"
"10",0.84,0.85,0.51,NA,NA,NA,NA,NA,0.666666666666667,NA
"12.5",0.8,0.81,0.5,NA,NA,NA,NA,NA,0.666666666666667,NA
"15",0.75,0.75,0.68,NA,NA,NA,NA,NA,0.666666666666667,NA
"17.5",0.87,0.87,0.65,NA,NA,NA,NA,NA,0.666666666666667,NA
"20",0.81,0.82,0.46,NA,NA,NA,NA,NA,0.666666666666667,NA
"22.5",0.82,0.82,0.1,NA,NA,NA,NA,NA,0.666666666666667,NA
"25",0.83,0.83,0.18,NA,NA,NA,NA,NA,0.666666666666667,NA
"27.5",0.8,0.8,0.04,NA,NA,NA,NA,NA,0.666666666666667,NA
"30",0.81,0.81,0.09,NA,NA,NA,NA,NA,0.666666666666667,NA
"32.5",0.8,0.8,0.1,NA,NA,NA,NA,NA,0.666666666666667,NA
"35",0.82,0.82,0.09,NA,NA,NA,NA,NA,0.666666666666667,NA
"37.5",0.78,0.78,0,NA,NA,NA,NA,NA,0.666666666666667,NA
"40",0.87,0.87,0,NA,NA,NA,NA,NA,0.666666666666667,NA
