"","gswsvm3","gswsvm","svm","svmdc","clusterSVM","smotesvm","blsmotesvm","dbsmotesvm","smotedc","bayes"
"10",0.100369687027877,NA,NA,NA,NA,NA,NA,NA,0.0733669956409741,NA
"12.5",0.0877707451472511,NA,NA,NA,NA,NA,NA,NA,0.0945424328274784,NA
"15",0.0688530372659096,NA,NA,NA,NA,NA,NA,NA,0.0798145999825243,NA
"17.5",0.0857789291805279,NA,NA,NA,NA,NA,NA,NA,0.0899931410280737,NA
"20",0.0773001205818937,NA,NA,NA,NA,NA,NA,NA,0.0782525193851512,NA
"22.5",0.090267093384844,NA,NA,NA,NA,NA,NA,NA,0.0831479419283098,NA
"25",0.100369687027877,NA,NA,NA,NA,NA,NA,NA,0.0834443704689715,NA
"27.5",0.0720082299823095,NA,NA,NA,NA,NA,NA,NA,0.0566557723732532,NA
"30",0.0562182695141045,NA,NA,NA,NA,NA,NA,NA,0.054884840156571,NA
"32.5",0.0706233270314254,NA,NA,NA,NA,NA,NA,NA,0.0344265186329548,NA
"35",0.0583730023847275,NA,NA,NA,NA,NA,NA,NA,0.0953227137312321,NA
"37.5",0.064406118871953,NA,NA,NA,NA,NA,NA,NA,0.064406118871953,NA
"40",0.0716645133182093,NA,NA,NA,NA,NA,NA,NA,0.0773001205818937,NA
