"","gswsvm3","gswsvm","svm","svmdc","clusterSVM","smotesvm","blsmotesvm","dbsmotesvm","smotedc","bayes"
"10",1,1,NA,NA,NA,NA,NA,NA,0.105263157894737,NA
"12.5",1,1,NA,NA,NA,NA,NA,NA,0.105263157894737,NA
"15",1,1,NA,NA,NA,NA,NA,NA,0.105263157894737,NA
"17.5",1,1,NA,NA,NA,NA,NA,NA,0.105263157894737,NA
"20",1,1,NA,NA,NA,NA,NA,NA,0.105263157894737,NA
"22.5",1,1,NA,NA,NA,NA,NA,NA,0.105263157894737,NA
"25",1,1,NA,NA,NA,NA,NA,NA,0.105263157894737,NA
"27.5",1,1,NA,NA,NA,NA,NA,NA,0.105263157894737,NA
"30",1,1,NA,NA,NA,NA,NA,NA,0.105263157894737,NA
"32.5",0.988888888888889,0.98,NA,NA,NA,NA,NA,NA,0.105263157894737,NA
"35",0.99,0.99,NA,NA,NA,NA,NA,NA,0.105263157894737,NA
"37.5",0.99,1,NA,NA,NA,NA,NA,NA,0.105263157894737,NA
"40",1,1,NA,NA,NA,NA,NA,NA,0.105263157894737,NA
