"","gswsvm3","gswsvm","svm","svmdc","clusterSVM","smotesvm","blsmotesvm","dbsmotesvm","smotedc","bayes"
"10",0.00494480266564018,NA,NA,NA,NA,NA,NA,NA,0.00659307022085358,NA
"12.5",0.00269858039966286,NA,NA,NA,NA,NA,NA,NA,0.00539716079932569,NA
"15",0.00939757204298962,NA,NA,NA,NA,NA,NA,NA,0.0114037415686748,NA
"17.5",0.00951256479025973,NA,NA,NA,NA,NA,NA,NA,0.00817584518226982,NA
"20",0.00461951290248691,NA,NA,NA,NA,NA,NA,NA,0.00147942814510802,NA
"22.5",0.0137331011116192,NA,NA,NA,NA,NA,NA,NA,0.00400836117666018,NA
"25",0.0129512910434358,NA,NA,NA,NA,NA,NA,NA,0.00954027247390836,NA
"27.5",0.0122519820777741,NA,NA,NA,NA,NA,NA,NA,0.0111391312202808,NA
"30",0.010217047475768,NA,NA,NA,NA,NA,NA,NA,0.0103204166812944,NA
"32.5",0.0114695316050165,NA,NA,NA,NA,NA,NA,NA,0.00807670650721564,NA
"35",0.00780448994358579,NA,NA,NA,NA,NA,NA,NA,0.00976289961600274,NA
"37.5",0.012744441296494,NA,NA,NA,NA,NA,NA,NA,0.0081831311754291,NA
"40",0.0107846785648849,NA,NA,NA,NA,NA,NA,NA,0.00538837403498923,NA
