"","V1","V2","V3","V4","V5","V6","V7"
"1",0.866666666666667,NA,NA,NA,NA,NA,NA
"2",0.866666666666667,NA,NA,NA,NA,NA,NA
"3",1,NA,NA,NA,NA,NA,NA
"4",0.933333333333333,NA,NA,NA,NA,NA,NA
"5",0.8,NA,NA,NA,NA,NA,NA
"6",0.933333333333333,NA,NA,NA,NA,NA,NA
"7",0.933333333333333,NA,NA,NA,NA,NA,NA
"8",0.933333333333333,NA,NA,NA,NA,NA,NA
"9",1,NA,NA,NA,NA,NA,NA
"10",0.8,NA,NA,NA,NA,NA,NA
"11",0.933333333333333,NA,NA,NA,NA,NA,NA
"12",1,NA,NA,NA,NA,NA,NA
"13",0.866666666666667,NA,NA,NA,NA,NA,NA
"14",0.933333333333333,NA,NA,NA,NA,NA,NA
"15",0.8,NA,NA,NA,NA,NA,NA
"16",0.933333333333333,NA,NA,NA,NA,NA,NA
"17",0.866666666666667,NA,NA,NA,NA,NA,NA
"18",1,NA,NA,NA,NA,NA,NA
"19",1,NA,NA,NA,NA,NA,NA
"20",0.933333333333333,NA,NA,NA,NA,NA,NA
"21",0.866666666666667,NA,NA,NA,NA,NA,NA
"22",0.733333333333333,NA,NA,NA,NA,NA,NA
"23",0.8,NA,NA,NA,NA,NA,NA
"24",1,NA,NA,NA,NA,NA,NA
"25",1,NA,NA,NA,NA,NA,NA
"26",1,NA,NA,NA,NA,NA,NA
"27",0.8,NA,NA,NA,NA,NA,NA
"28",1,NA,NA,NA,NA,NA,NA
"29",1,NA,NA,NA,NA,NA,NA
"30",1,NA,NA,NA,NA,NA,NA
"31",0.933333333333333,NA,NA,NA,NA,NA,NA
"32",0.8,NA,NA,NA,NA,NA,NA
"33",0.933333333333333,NA,NA,NA,NA,NA,NA
"34",0.933333333333333,NA,NA,NA,NA,NA,NA
"35",0.533333333333333,NA,NA,NA,NA,NA,NA
"36",1,NA,NA,NA,NA,NA,NA
"37",0.8,NA,NA,NA,NA,NA,NA
"38",0.866666666666667,NA,NA,NA,NA,NA,NA
"39",1,NA,NA,NA,NA,NA,NA
"40",0.933333333333333,NA,NA,NA,NA,NA,NA
"41",0.933333333333333,NA,NA,NA,NA,NA,NA
"42",0.933333333333333,NA,NA,NA,NA,NA,NA
"43",0.933333333333333,NA,NA,NA,NA,NA,NA
"44",0.8,NA,NA,NA,NA,NA,NA
"45",0.933333333333333,NA,NA,NA,NA,NA,NA
"46",0.866666666666667,NA,NA,NA,NA,NA,NA
"47",0.8,NA,NA,NA,NA,NA,NA
"48",0.933333333333333,NA,NA,NA,NA,NA,NA
"49",0.933333333333333,NA,NA,NA,NA,NA,NA
"50",1,NA,NA,NA,NA,NA,NA
"51",0.933333333333333,NA,NA,NA,NA,NA,NA
"52",0.8,NA,NA,NA,NA,NA,NA
"53",0.933333333333333,NA,NA,NA,NA,NA,NA
"54",1,NA,NA,NA,NA,NA,NA
"55",0.866666666666667,NA,NA,NA,NA,NA,NA
"56",0.8,NA,NA,NA,NA,NA,NA
"57",0.933333333333333,NA,NA,NA,NA,NA,NA
"58",0.933333333333333,NA,NA,NA,NA,NA,NA
"59",0.933333333333333,NA,NA,NA,NA,NA,NA
"60",1,NA,NA,NA,NA,NA,NA
"61",1,NA,NA,NA,NA,NA,NA
"62",1,NA,NA,NA,NA,NA,NA
"63",0.933333333333333,NA,NA,NA,NA,NA,NA
"64",0.933333333333333,NA,NA,NA,NA,NA,NA
"65",0.866666666666667,NA,NA,NA,NA,NA,NA
"66",0.933333333333333,NA,NA,NA,NA,NA,NA
"67",0.866666666666667,NA,NA,NA,NA,NA,NA
"68",0.8,NA,NA,NA,NA,NA,NA
"69",0.866666666666667,NA,NA,NA,NA,NA,NA
"70",0.866666666666667,NA,NA,NA,NA,NA,NA
"71",0.866666666666667,NA,NA,NA,NA,NA,NA
"72",1,NA,NA,NA,NA,NA,NA
"73",0.866666666666667,NA,NA,NA,NA,NA,NA
"74",1,NA,NA,NA,NA,NA,NA
"75",0.933333333333333,NA,NA,NA,NA,NA,NA
"76",0.733333333333333,NA,NA,NA,NA,NA,NA
"77",1,NA,NA,NA,NA,NA,NA
"78",0.933333333333333,NA,NA,NA,NA,NA,NA
"79",0.933333333333333,NA,NA,NA,NA,NA,NA
"80",1,NA,NA,NA,NA,NA,NA
"81",0.933333333333333,NA,NA,NA,NA,NA,NA
"82",0.933333333333333,NA,NA,NA,NA,NA,NA
"83",0.933333333333333,NA,NA,NA,NA,NA,NA
"84",1,NA,NA,NA,NA,NA,NA
"85",0.933333333333333,NA,NA,NA,NA,NA,NA
"86",1,NA,NA,NA,NA,NA,NA
"87",0.933333333333333,NA,NA,NA,NA,NA,NA
"88",0.866666666666667,NA,NA,NA,NA,NA,NA
"89",0.866666666666667,NA,NA,NA,NA,NA,NA
"90",0.866666666666667,NA,NA,NA,NA,NA,NA
"91",1,NA,NA,NA,NA,NA,NA
"92",0.933333333333333,NA,NA,NA,NA,NA,NA
"93",0.933333333333333,NA,NA,NA,NA,NA,NA
"94",0.933333333333333,NA,NA,NA,NA,NA,NA
"95",0.933333333333333,NA,NA,NA,NA,NA,NA
"96",0.933333333333333,NA,NA,NA,NA,NA,NA
"97",0.866666666666667,NA,NA,NA,NA,NA,NA
"98",0.866666666666667,NA,NA,NA,NA,NA,NA
"99",0.933333333333333,NA,NA,NA,NA,NA,NA
"100",0.8,NA,NA,NA,NA,NA,NA
