"","PREC","TEMP","WIND_SPEED","RH","y"
"1",0,290.7,3.2,51.5,"pos"
"2",0,282.8,3.6,39.3,"pos"
"3",0,276.7,3.8,90.6,"pos"
"4",0,275,2.1,76.3,"pos"
"5",0,292.2,4.3,14.7,"pos"
"6",0,286.6,2.7,30.1,"pos"
"7",0,294.9,3.6,81.5,"pos"
"8",0,280.1,8.4,54.2,"pos"
"3229",0,278.45,8,58,"pos"
"4668",0,280.15,9,60.5,"pos"
"1631",0,279.15,7,55,"pos"
"2363",0,281.55,6.9,52.9,"pos"
"3741",0,281.55,6.8,49,"pos"
"2674",0,282.15,6.8,61.5,"pos"
"346",0,281.35,6.2,52.8,"pos"
"608",0,278.35,6.4,49.1,"pos"
"13",0,275.35,2.3,83.7,"pos"
"1860",0,276.05,2.6,75.7,"pos"
"492",0,277.65,2.6,80.9,"pos"
"1270",0,273.95,2.4,84,"pos"
"3475",0,276.85,2.1,85.1,"pos"
"3519",0,273.15,2.5,82.2,"pos"
"2945",0,273.15,3,83.2,"pos"
"1367",0,273.15,1.9,81,"pos"
"274",0,287.15,3.2,32.9,"pos"
"294",0,287.65,3.1,33.3,"pos"
"381",0,286.45,2.7,32,"pos"
"1130",0,287.25,3.4,31.8,"pos"
"4129",0,287.55,2.9,31,"pos"
"474",0,286.55,3.2,30.6,"pos"
"3490",0,286.95,3.4,35.2,"pos"
"2703",0,287.85,3,32.9,"pos"
"2514",0,293.75,3.5,75.4,"pos"
"145",0,297.45,4,78.3,"pos"
"1390",0,298.35,3.5,83.8,"pos"
"1989",0,291.85,4.3,77.7,"pos"
"749",0,294.55,2.2,75.7,"pos"
"170",0,296.55,4.4,73.5,"pos"
"140",0,296.25,1.9,79.3,"pos"
"3110",0,292.95,2.4,73.7,"pos"
"5052",68,291.95,9,99.9,"neg"
"5320",0.5,283.25,21.3,68.5,"neg"
"5847",0,270.55,19.3,70.6,"neg"
"6120",17,297.25,15.1,91,"neg"
"6159",0,252.15,0.4,95.4,"neg"
"5063",0,245.65,7.4,66.3,"neg"
"7049",0,251.95,0.4,89.2,"neg"
"7183",0,288.65,17,65.6,"neg"
"9164",0.5,279.05,11,0,"neg"
"5342",0,253.25,1.2,90,"neg"
"7505",4.5,296.95,11.6,99.9,"neg"
"9725",26,293.35,5.1,98.9,"neg"
"7944",0,254.05,0.1,80.1,"neg"
"5949",0,255.35,0.1,84.3,"neg"
"6683",0,255.85,0.1,83.8,"neg"
"7578",0,256.75,0.1,86.1,"neg"
"9573",0,286.25,12.6,94.1,"neg"
"6564",0,254.45,0.3,77.5,"neg"
"7589",0,262.35,4.6,99.9,"neg"
"6584",0,265.55,0.3,99.9,"neg"
"7459",0,293.85,11,96,"neg"
"7209",0,255.05,8.4,66.6,"neg"
"6083",0,259.85,0.4,89.1,"neg"
"5364",0,260.45,2.5,94.1,"neg"
"5081",0,257.65,0.3,82.2,"neg"
"8201",0,261.95,0.4,92.4,"neg"
"9723",0.5,302.25,1.6,100,"neg"
"8846",0,267.05,0.7,99.9,"neg"
"6714",0,299.95,0.3,99.9,"neg"
"5485",0,265.25,0.2,96.1,"neg"
"8624",0,263.95,8,92.5,"neg"
"6090",0,262.95,0.1,92,"neg"
"6803",0,263.15,0.5,93.3,"neg"
"7275",0,264.85,5.5,98.6,"neg"
"8851",0,299.15,0.3,99.9,"neg"
"6943",0.5,269.45,8.9,96.3,"neg"
"5853",0,257.45,7.4,77.5,"neg"
"8237",0,298.65,0.3,99.9,"neg"
"8173",0,299.85,0.9,99.8,"neg"
"8357",0.2,298.65,0.2,99.4,"neg"
"8673",0,256.65,0.6,73.9,"neg"
"5786",0,274.55,13,77,"neg"
"8812",0,299.15,0.9,99.9,"neg"
"9053",0,299.15,0.9,99.8,"neg"
"5098",7.5,297.05,0.7,99.4,"neg"
"9286",4,298.95,0.2,97.8,"neg"
"7604",0,298.65,0.4,99,"neg"
